Nelson Lagoon	AK	55.84	-161.64
Nenana	AK	64.54	-149.08
New Stuyahok	AK	59.48	-157.31
Newhalen	AK	59.74	-154.90
Newtok	AK	60.94	-164.65
Nightmute	AK	60.46	-164.83
Nikiski	AK	60.73	-151.23
Nikolaevsk	AK	59.83	-151.60
Nikolai	AK	63.00	-154.37
Nikolski	AK	53.01	-168.72
Ninilchik	AK	60.06	-151.40
Noatak	AK	67.59	-163.01
Nome	AK	64.51	-165.42
Nondalton	AK	59.98	-154.87
Noorvik	AK	66.83	-161.03
North Lakes	AK	61.62	-149.31
North Pole	AK	64.75	-147.36
Northway	AK	63.00	-141.54
Nuiqsut	AK	70.21	-150.99
Nulato	AK	64.69	-158.28
Nunam Iqua	AK	62.51	-164.90
Nunapitchuk	AK	60.88	-162.46
Old Harbor	AK	57.22	-153.33
Oscarville	AK	60.72	-161.79
Ouzinkie	AK	57.92	-152.46
Palmer	AK	61.60	-149.11
Paxson	AK	62.98	-145.76
Pedro Bay	AK	59.79	-154.13
Pelican	AK	57.96	-136.22
Perryville	AK	55.93	-159.16
Petersburg	AK	56.76	-132.87
Petersville	AK	62.45	-150.88
Pilot Point	AK	57.54	-157.72
Pilot Station	AK	61.95	-162.87
Pitkas Point	AK	62.04	-163.27
Platinum	AK	58.95	-161.75
Pleasant Valley	AK	64.89	-146.90
Point Baker	AK	56.35	-133.62
Point Hope	AK	68.34	-166.68
Point Lay	AK	69.74	-162.83
Point MacKenzie	AK	61.34	-150.05
Point Possession	AK	60.92	-150.69
Pope-Vannoy Landing	AK	59.57	-154.45
Port Alexander	AK	56.24	-134.65
Port Alsworth	AK	60.16	-154.34
Port Clarence	AK	65.11	-166.76
Port Graham	AK	59.34	-151.85
Port Heiden	AK	56.97	-158.59
Port Lions	AK	57.87	-152.86
Port Protection	AK	56.33	-133.61
Portage Creek	AK	58.91	-157.67
Primrose	AK	60.34	-149.30
Prudhoe Bay	AK	70.37	-148.75
Quinhagak	AK	59.75	-161.90
Rampart	AK	65.40	-149.92
Red Devil	AK	61.76	-157.36
Red Dog Mine	AK	68.06	-162.87
Ridgeway	AK	60.53	-151.05
Ruby	AK	64.72	-155.50
Russian Mission	AK	61.78	-161.36
Salamatof	AK	60.60	-151.31
Salcha	AK	64.53	-146.88
Sand Point	AK	55.31	-160.48
Savoonga	AK	63.68	-170.48
Saxman	AK	55.32	-131.59
Scammon Bay	AK	61.84	-165.58
Selawik	AK	66.59	-160.00
Seldovia	AK	59.44	-151.71
Seldovia Village	AK	59.46	-151.59
Seward	AK	60.12	-149.39
Shageluk	AK	62.66	-159.55
Shaktoolik	AK	64.35	-161.19
Shishmaref	AK	66.23	-166.13
Shungnak	AK	66.88	-157.15
Silver Springs	AK	62.02	-145.36
Sitka city and	AK	57.19	-135.37
Skagway	AK	59.46	-135.28
Skwentna	AK	61.89	-151.20
Slana	AK	62.60	-143.46
Sleetmute	AK	61.65	-157.10
Soldotna	AK	60.49	-151.07
South Lakes	AK	61.59	-149.32
South Naknek	AK	58.68	-156.99
South Van Horn	AK	64.81	-147.79
St. George	AK	56.57	-169.66
St. Mary's	AK	62.06	-163.24
St. Michael	AK	63.46	-162.13
St. Paul	AK	57.18	-170.32
Stebbins	AK	63.47	-162.26
Steele Creek	AK	64.93	-147.44
Sterling	AK	60.54	-150.81
Stevens Village	AK	66.02	-149.08
Stony River	AK	61.79	-156.59
Sunrise	AK	60.87	-149.47
Susitna	AK	61.54	-150.59
Susitna North	AK	62.15	-149.75
Sutton-Alpine	AK	61.74	-148.87
